investment_id,customer_id,product_type,product_name,purchase_date,invested_amount,current_value,units,purchase_nav,current_nav,returns_absolute,returns_percentage,risk_level
INV0000004,CUST01001,fixed_deposit,HDFC Bank FD,2022-12-11,54057,64693,0.0,0.0,0.0,10636,19.68,low
INV0000005,CUST01001,nps,NPS Auto Choice,2023-01-16,147409,202664,0.0,0.0,0.0,55255,37.48,medium
INV0000001,CUST01001,fixed_deposit,HDFC Bank FD,2023-02-08,182125,215295,0.0,0.0,0.0,33170,18.21,low
INV0000002,CUST01001,fixed_deposit,SBI Fixed Deposit,2023-03-14,47645,56025,0.0,0.0,0.0,8380,17.59,low
INV0000003,CUST01001,nps,NPS Active Choice,2023-04-23,194844,257657,0.0,0.0,0.0,62813,32.24,medium
INV0000008,CUST01002,hybrid_fund,SBI Equity Hybrid Fund,2023-08-29,33321,40746,169.2166,196.91,240.79,7425,22.28,medium
INV0000009,CUST01002,nps,NPS Tier-1 Account,2023-10-17,89993,108974,0.0,0.0,0.0,18981,21.09,medium
INV0000007,CUST01002,equity_mutual_fund,HDFC Top 100 Fund,2023-10-22,60174,82510,1019.7463,59.01,80.91,22336,37.12,high
INV0000006,CUST01002,debt_mutual_fund,SBI Magnum Income Fund,2024-06-10,43729,49124,477.4267,91.59,102.89,5395,12.34,low
INV0000012,CUST01003,equity_mutual_fund,HDFC Top 100 Fund,2023-01-12,34918,54837,480.0311,72.74,114.24,19919,57.05,high
INV0000013,CUST01003,debt_mutual_fund,SBI Magnum Income Fund,2023-04-14,127584,148589,817.1084,156.14,181.85,21005,16.46,low
INV0000014,CUST01003,hybrid_fund,Kotak Balanced Fund,2023-09-03,150341,191185,944.56,159.17,202.41,40844,27.17,medium
INV0000015,CUST01003,equity_mutual_fund,HDFC Top 100 Fund,2024-04-05,166591,200581,862.6147,193.12,232.53,33990,20.4,high
INV0000010,CUST01003,hybrid_fund,SBI Equity Hybrid Fund,2024-10-18,52076,57485,383.7535,135.7,149.8,5409,10.39,medium
INV0000011,CUST01003,debt_mutual_fund,SBI Magnum Income Fund,2024-11-03,141885,154884,1961.6846,72.33,78.95,12999,9.16,low
INV0000019,CUST01004,equity_mutual_fund,Axis Bluechip Fund,2023-02-16,105977,179407,861.7731,122.98,208.18,73430,69.29,high
INV0000022,CUST01004,stocks,ITC,2023-05-26,311978,642847,0.0,0.0,0.0,330869,106.06,high
INV0000021,CUST01004,hybrid_fund,ICICI Prudential Balanced Fund,2023-10-21,306498,369663,2338.2014,131.08,158.1,63165,20.61,medium
INV0000016,CUST01004,hybrid_fund,SBI Equity Hybrid Fund,2023-12-10,330298,394243,2776.8758,118.95,141.97,63945,19.36,medium
INV0000017,CUST01004,debt_mutual_fund,SBI Magnum Income Fund,2024-04-29,389629,430231,6970.1476,55.9,61.72,40602,10.42,low
INV0000018,CUST01004,stocks,L&T,2024-05-11,396414,439490,0.0,0.0,0.0,43076,10.87,high
INV0000020,CUST01004,equity_mutual_fund,Axis Bluechip Fund,2024-05-12,435521,531011,5515.4439,78.96,96.28,95490,21.93,high
INV0000023,CUST01004,debt_mutual_fund,Axis Banking PSU Debt Fund,2024-10-16,58607,63152,582.2401,100.66,108.46,4545,7.76,low
INV0000030,CUST01005,gold_etf,Nippon Gold ETF,2022-12-29,226864,296048,3330.3403,68.12,88.89,69184,30.5,medium
INV0000025,CUST01005,fixed_deposit,SBI Fixed Deposit,2023-02-28,297054,348977,0.0,0.0,0.0,51923,17.48,low
INV0000027,CUST01005,nps,NPS Tier-1 Account,2023-03-08,289172,369990,0.0,0.0,0.0,80818,27.95,medium
INV0000033,CUST01005,gold_etf,ICICI Prudential Gold ETF,2023-09-24,124048,148512,1175.9319,105.49,126.29,24464,19.72,medium
INV0000032,CUST01005,nps,NPS Active Choice,2023-12-15,140936,167141,0.0,0.0,0.0,26205,18.59,medium
INV0000031,CUST01005,fixed_deposit,HDFC Bank FD,2024-04-18,218605,244085,0.0,0.0,0.0,25480,11.66,low
INV0000026,CUST01005,hybrid_fund,ICICI Prudential Balanced Fund,2024-05-30,57531,68771,309.8072,185.7,221.98,11240,19.54,medium
INV0000024,CUST01005,fixed_deposit,SBI Fixed Deposit,2024-07-01,435592,477029,0.0,0.0,0.0,41437,9.51,low
INV0000028,CUST01005,debt_mutual_fund,HDFC Corporate Bond Fund,2024-08-06,478762,518476,3438.2309,139.25,150.8,39714,8.3,low
INV0000029,CUST01005,nps,NPS Active Choice,2024-09-19,165643,188079,0.0,0.0,0.0,22436,13.54,medium
INV0000036,CUST01006,hybrid_fund,SBI Equity Hybrid Fund,2022-12-13,268220,392953,1616.9091,165.88,243.03,124733,46.5,medium
INV0000035,CUST01006,fixed_deposit,SBI Fixed Deposit,2023-01-25,420535,507721,0.0,0.0,0.0,87186,20.73,low
INV0000039,CUST01006,debt_mutual_fund,ICICI Prudential Bond Fund,2023-06-30,426018,510578,6740.4521,63.2,75.75,84560,19.85,low
INV0000034,CUST01006,equity_mutual_fund,SBI Bluechip Fund,2023-07-13,58194,77772,1139.1915,51.08,68.27,19578,33.64,high
INV0000038,CUST01006,gold_etf,Nippon Gold ETF,2024-05-28,175437,203372,3152.893,55.64,64.5,27935,15.92,medium
INV0000037,CUST01006,hybrid_fund,ICICI Prudential Balanced Fund,2024-06-29,158087,187214,1230.6031,128.46,152.13,29127,18.42,medium
INV0000044,CUST01007,debt_mutual_fund,HDFC Corporate Bond Fund,2023-02-01,39163,47473,480.8907,81.44,98.72,8310,21.22,low
INV0000041,CUST01007,fixed_deposit,HDFC Bank FD,2023-02-20,146691,176712,0.0,0.0,0.0,30021,20.47,low
INV0000043,CUST01007,fixed_deposit,HDFC Bank FD,2023-07-02,149364,172755,0.0,0.0,0.0,23391,15.66,low
INV0000040,CUST01007,debt_mutual_fund,HDFC Corporate Bond Fund,2023-11-18,187246,221038,945.6042,198.02,233.75,33792,18.05,low
INV0000042,CUST01007,fixed_deposit,ICICI Bank FD,2024-05-08,38911,42674,0.0,0.0,0.0,3763,9.67,low
INV0000047,CUST01008,hybrid_fund,Kotak Balanced Fund,2023-04-09,87687,115196,1098.6596,79.81,104.85,27509,31.37,medium
INV0000046,CUST01008,hybrid_fund,HDFC Balanced Advantage Fund,2023-06-14,73577,92249,399.3067,184.26,231.02,18672,25.38,medium
INV0000045,CUST01008,debt_mutual_fund,HDFC Corporate Bond Fund,2024-09-30,23686,26080,310.0946,76.38,84.1,2394,10.11,low
INV0000053,CUST01009,equity_mutual_fund,SBI Bluechip Fund,2023-02-08,463949,852689,2496.5411,185.84,341.55,388740,83.79,high
INV0000055,CUST01009,gold_etf,HDFC Gold ETF,2023-07-27,360158,462463,3920.0601,91.88,117.97,102305,28.41,medium
INV0000054,CUST01009,hybrid_fund,ICICI Prudential Balanced Fund,2023-09-28,95337,126754,772.6977,123.38,164.04,31417,32.95,medium
INV0000049,CUST01009,hybrid_fund,ICICI Prudential Balanced Fund,2023-11-06,253072,306541,1601.9934,157.97,191.35,53469,21.13,medium
INV0000052,CUST01009,hybrid_fund,Kotak Balanced Fund,2023-12-07,139758,169450,1482.4624,94.27,114.3,29692,21.25,medium
INV0000056,CUST01009,hybrid_fund,Kotak Balanced Fund,2024-03-15,435969,516023,3786.5138,115.14,136.28,80054,18.36,medium
INV0000050,CUST01009,hybrid_fund,SBI Equity Hybrid Fund,2024-04-29,191397,225452,3491.7419,54.81,64.57,34055,17.79,medium
INV0000057,CUST01009,debt_mutual_fund,ICICI Prudential Bond Fund,2024-06-23,360258,405661,1950.1047,184.74,208.02,45403,12.6,low
INV0000048,CUST01009,gold_etf,SBI Gold ETF,2024-06-27,278518,313831,1969.5077,141.42,159.34,35313,12.68,medium
INV0000051,CUST01009,hybrid_fund,HDFC Balanced Advantage Fund,2024-07-06,197117,223903,1644.9701,119.83,136.11,26786,13.59,medium
INV0000062,CUST01010,hybrid_fund,ICICI Prudential Balanced Fund,2023-04-18,145398,202015,2709.514,53.66,74.56,56617,38.94,medium
INV0000061,CUST01010,nps,NPS Tier-1 Account,2023-07-20,29175,37270,0.0,0.0,0.0,8095,27.75,medium
INV0000058,CUST01010,stocks,Asian Paints,2023-08-17,50689,69340,0.0,0.0,0.0,18651,36.79,high
INV0000060,CUST01010,equity_mutual_fund,SBI Bluechip Fund,2023-11-21,59789,80302,406.3242,147.15,197.63,20513,34.31,high
INV0000063,CUST01010,debt_mutual_fund,Axis Banking PSU Debt Fund,2024-07-04,146572,164379,1322.8036,110.8,124.27,17807,12.15,low
INV0000059,CUST01010,hybrid_fund,HDFC Balanced Advantage Fund,2024-11-10,171404,194748,1544.2816,110.99,126.11,23344,13.62,medium
INV0000070,CUST01011,debt_mutual_fund,HDFC Corporate Bond Fund,2022-11-27,343998,436827,4861.4156,70.76,89.86,92829,26.99,low
INV0000067,CUST01011,nps,NPS Tier-1 Account,2023-01-02,319870,422342,0.0,0.0,0.0,102472,32.04,medium
INV0000065,CUST01011,nps,NPS Active Choice,2023-04-13,334392,443231,0.0,0.0,0.0,108839,32.55,medium
INV0000068,CUST01011,debt_mutual_fund,HDFC Corporate Bond Fund,2023-10-27,108178,124708,757.1778,142.87,164.7,16530,15.28,low
INV0000066,CUST01011,fixed_deposit,SBI Fixed Deposit,2023-12-15,375297,428733,0.0,0.0,0.0,53436,14.24,low
INV0000064,CUST01011,nps,NPS Auto Choice,2024-02-20,273295,328755,0.0,0.0,0.0,55460,20.29,medium
INV0000069,CUST01011,nps,NPS Auto Choice,2024-05-27,242116,282650,0.0,0.0,0.0,40534,16.74,medium
INV0000075,CUST01012,stocks,ITC,2023-02-26,286966,370054,0.0,0.0,0.0,83088,28.95,high
INV0000074,CUST01012,fixed_deposit,Axis Bank FD,2023-05-28,422152,499830,0.0,0.0,0.0,77678,18.4,low
INV0000073,CUST01012,stocks,Asian Paints,2023-06-02,312904,578723,0.0,0.0,0.0,265819,84.95,high
INV0000071,CUST01012,equity_mutual_fund,SBI Bluechip Fund,2023-11-27,218015,332679,1736.6884,125.53,191.56,114664,52.59,high
INV0000077,CUST01012,equity_mutual_fund,Axis Bluechip Fund,2024-09-01,95774,116174,1246.7038,76.82,93.18,20400,21.3,high
INV0000076,CUST01012,nps,NPS Active Choice,2024-09-16,413448,460654,0.0,0.0,0.0,47206,11.42,medium
INV0000072,CUST01012,equity_mutual_fund,Axis Bluechip Fund,2024-09-28,195303,224391,1918.7989,101.78,116.94,29088,14.89,high
INV0000082,CUST01013,gold_etf,ICICI Prudential Gold ETF,2023-04-10,265845,336223,1809.6058,146.91,185.8,70378,26.47,medium
INV0000078,CUST01013,fixed_deposit,SBI Fixed Deposit,2023-09-23,203705,238049,0.0,0.0,0.0,34344,16.86,low
INV0000079,CUST01013,fixed_deposit,HDFC Bank FD,2023-12-03,298462,338754,0.0,0.0,0.0,40292,13.5,low
INV0000081,CUST01013,debt_mutual_fund,HDFC Corporate Bond Fund,2024-03-30,61553,70423,481.0968,127.94,146.38,8870,14.41,low
INV0000080,CUST01013,nps,NPS Active Choice,2024-11-01,388000,428629,0.0,0.0,0.0,40629,10.47,medium
INV0000087,CUST01014,debt_mutual_fund,ICICI Prudential Bond Fund,2024-03-24,67271,74536,337.9332,199.07,220.56,7265,10.8,low
INV0000086,CUST01014,debt_mutual_fund,SBI Magnum Income Fund,2024-05-27,72783,82213,472.8352,153.93,173.87,9430,12.96,low
INV0000083,CUST01014,debt_mutual_fund,ICICI Prudential Bond Fund,2024-05-31,105345,118644,1253.849,84.02,94.62,13299,12.62,low
INV0000085,CUST01014,debt_mutual_fund,SBI Magnum Income Fund,2024-06-05,144518,161459,1949.8241,74.12,82.81,16941,11.72,low
INV0000084,CUST01014,nps,NPS Auto Choice,2024-10-05,100535,111344,0.0,0.0,0.0,10809,10.75,medium
INV0000093,CUST01015,debt_mutual_fund,ICICI Prudential Bond Fund,2023-04-24,469208,574969,2491.2313,188.34,230.8,105761,22.54,low
INV0000095,CUST01015,debt_mutual_fund,ICICI Prudential Bond Fund,2023-05-08,405471,474262,7547.9521,53.72,62.83,68791,16.97,low
INV0000091,CUST01015,nps,NPS Active Choice,2023-06-22,336337,423609,0.0,0.0,0.0,87272,25.95,medium
INV0000089,CUST01015,fixed_deposit,SBI Fixed Deposit,2023-06-30,262107,309376,0.0,0.0,0.0,47269,18.03,low
INV0000096,CUST01015,debt_mutual_fund,ICICI Prudential Bond Fund,2023-11-23,283818,320569,4871.99,58.26,65.8,36751,12.95,low
INV0000088,CUST01015,fixed_deposit,HDFC Bank FD,2024-01-19,329782,368351,0.0,0.0,0.0,38569,11.7,low
INV0000092,CUST01015,fixed_deposit,ICICI Bank FD,2024-01-31,298465,339968,0.0,0.0,0.0,41503,13.91,low
INV0000090,CUST01015,fixed_deposit,Axis Bank FD,2024-06-16,217886,236917,0.0,0.0,0.0,19031,8.73,low
INV0000094,CUST01015,debt_mutual_fund,SBI Magnum Income Fund,2024-07-30,411311,456199,2222.9882,185.03,205.22,44888,10.91,low
INV0000098,CUST01016,debt_mutual_fund,Axis Banking PSU Debt Fund,2023-01-05,98744,126159,502.8315,196.38,250.9,27415,27.76,low
INV0000099,CUST01016,hybrid_fund,Kotak Balanced Fund,2023-07-09,35486,45378,252.0999,140.76,180.0,9892,27.88,medium
INV0000100,CUST01016,hybrid_fund,HDFC Balanced Advantage Fund,2023-11-19,97394,120976,618.7888,157.39,195.5,23582,24.21,medium
INV0000097,CUST01016,fixed_deposit,HDFC Bank FD,2024-08-29,12955,14050,0.0,0.0,0.0,1095,8.45,low
INV0000105,CUST01017,stocks,Wipro,2023-03-29,42331,76946,0.0,0.0,0.0,34615,81.77,high
INV0000101,CUST01017,equity_mutual_fund,HDFC Top 100 Fund,2023-08-26,81543,126556,725.8495,112.34,174.36,45013,55.2,high
INV0000106,CUST01017,gold_etf,SBI Gold ETF,2023-09-30,26735,33165,293.7934,91.0,112.89,6430,24.05,medium
INV0000104,CUST01017,equity_mutual_fund,SBI Bluechip Fund,2024-01-17,79469,108214,441.1786,180.13,245.28,28745,36.17,high
INV0000102,CUST01017,equity_mutual_fund,Axis Bluechip Fund,2024-06-08,100663,135268,514.7578,195.55,262.78,34605,34.38,high
INV0000103,CUST01017,hybrid_fund,Kotak Balanced Fund,2024-07-03,133578,160268,956.2435,139.69,167.6,26690,19.98,medium
INV0000108,CUST01018,nps,NPS Auto Choice,2024-01-18,15535,18994,0.0,0.0,0.0,3459,22.27,medium
INV0000107,CUST01018,debt_mutual_fund,ICICI Prudential Bond Fund,2024-05-16,36117,40885,386.611,93.42,105.75,4768,13.2,low
INV0000110,CUST01019,nps,NPS Tier-1 Account,2022-12-19,307890,417237,0.0,0.0,0.0,109347,35.51,medium
