transaction_id,customer_id,date,category,merchant,amount,payment_method,description
TXN00000023,CUST01001,2025-05-26,investment,Paytm Money,34819,credit_card,Paytm Money - Investment
TXN00000048,CUST01001,2025-06-05,fuel,HP Petrol,3793,credit_card,HP Petrol - Fuel
TXN00000012,CUST01001,2025-06-10,groceries,Big Bazaar,4206,credit_card,Big Bazaar - Groceries
TXN00000056,CUST01001,2025-06-12,investment,Paytm Money,28012,debit_card,Paytm Money - Investment
TXN00000034,CUST01001,2025-06-13,food_dining,Domino's,1353,netbanking,Domino's - Food Dining
TXN00000035,CUST01001,2025-06-13,travel,IRCTC,8990,credit_card,IRCTC - Travel
TXN00000020,CUST01001,2025-06-14,shopping,Pantaloons,2104,credit_card,Pantaloons - Shopping
TXN00000049,CUST01001,2025-06-21,shopping,Pantaloons,14985,upi,Pantaloons - Shopping
TXN00000001,CUST01001,2025-06-22,fuel,Bharat Petroleum,4447,debit_card,Bharat Petroleum - Fuel
TXN00000018,CUST01001,2025-06-22,groceries,DMart,5893,debit_card,DMart - Groceries
TXN00000040,CUST01001,2025-06-22,healthcare,Fortis Hospital,5262,credit_card,Fortis Hospital - Healthcare
TXN00000033,CUST01001,2025-06-28,utilities,Internet Bill,2372,credit_card,Internet Bill - Utilities
TXN00000044,CUST01001,2025-06-28,utilities,Internet Bill,1161,upi,Internet Bill - Utilities
TXN00000025,CUST01001,2025-07-04,groceries,DMart,1979,debit_card,DMart - Groceries
TXN00000051,CUST01001,2025-07-10,fuel,Indian Oil,1734,upi,Indian Oil - Fuel
TXN00000015,CUST01001,2025-07-13,food_dining,Cafe Coffee Day,1082,credit_card,Cafe Coffee Day - Food Dining
TXN00000041,CUST01001,2025-07-18,utilities,Gas Bill,3315,debit_card,Gas Bill - Utilities
TXN00000008,CUST01001,2025-07-19,fuel,HP Petrol,3920,credit_card,HP Petrol - Fuel
TXN00000011,CUST01001,2025-07-23,entertainment,BookMyShow,490,upi,BookMyShow - Entertainment
TXN00000055,CUST01001,2025-07-23,groceries,DMart,4764,credit_card,DMart - Groceries
TXN00000013,CUST01001,2025-07-25,groceries,Reliance Fresh,3255,debit_card,Reliance Fresh - Groceries
TXN00000010,CUST01001,2025-07-28,groceries,More Supermarket,1672,debit_card,More Supermarket - Groceries
TXN00000053,CUST01001,2025-07-28,groceries,Big Bazaar,4633,upi,Big Bazaar - Groceries
TXN00000032,CUST01001,2025-07-31,groceries,More Supermarket,3455,credit_card,More Supermarket - Groceries
TXN00000042,CUST01001,2025-08-01,travel,MakeMyTrip,1964,credit_card,MakeMyTrip - Travel
TXN00000052,CUST01001,2025-08-19,healthcare,Medlife,13943,debit_card,Medlife - Healthcare
TXN00000036,CUST01001,2025-08-23,fuel,HP Petrol,2513,credit_card,HP Petrol - Fuel
TXN00000004,CUST01001,2025-08-26,fuel,Bharat Petroleum,1980,credit_card,Bharat Petroleum - Fuel
TXN00000016,CUST01001,2025-09-08,travel,IndiGo Airlines,2075,debit_card,IndiGo Airlines - Travel
TXN00000031,CUST01001,2025-09-10,utilities,Water Bill,2641,credit_card,Water Bill - Utilities
TXN00000019,CUST01001,2025-09-11,groceries,Reliance Fresh,3546,upi,Reliance Fresh - Groceries
TXN00000043,CUST01001,2025-09-11,education,Coursera,1116,credit_card,Coursera - Education
TXN00000037,CUST01001,2025-09-15,education,School Fees,21043,netbanking,School Fees - Education
TXN00000054,CUST01001,2025-09-23,groceries,Reliance Fresh,4364,credit_card,Reliance Fresh - Groceries
TXN00000027,CUST01001,2025-09-25,travel,IRCTC,5458,credit_card,IRCTC - Travel
TXN00000022,CUST01001,2025-09-27,travel,Goibibo,2221,credit_card,Goibibo - Travel
TXN00000028,CUST01001,2025-10-03,food_dining,Zomato,340,debit_card,Zomato - Food Dining
TXN00000003,CUST01001,2025-10-08,fuel,Bharat Petroleum,3001,credit_card,Bharat Petroleum - Fuel
